analysis_id,91wy54joj3m316z
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
pvalue,0.4256644
parameter_name,LVIDd
mouse_strain,C57BL
gene_symbol,Trp53rkb
parameter_id,IMPC_ECH_008_001
