parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
gene_accession_id,MGI:95576
gene_symbol,Fpgs
analysis_id,v3lp8s2568kzcvr
mouse_life_stage,Early adult
pvalue,0.8700469
parameter_name,lens opacity
