analysis_id,4895pm38es923ux
gene_symbol,Tox
mouse_strain,C57BL
pvalue,0.8619006
parameter_name,Resting NK cells - % of NK cells
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
parameter_id,MGP_MLN_033_001
