parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
gene_symbol,Fgb
pvalue,0.5549784
analysis_id,8atm5r4g5528k6l
parameter_name,Periphery - Permanence Time
mouse_strain,C53BL
