analysis_id,wx9caeit89zbprt
pvalue,0.1064869
mouse_life_stage,Early adult
parameter_name,Haemoglobin
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
gene_symbol,AU040320
