parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
analysis_id,bn77h54w66j1db9
mouse_life_stage,Late adult
gene_symbol,Lpgat1
pvalue,0.6071578
