parameter_name,HRV
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Mms22l
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:2684980
analysis_id,5dh9e7j3235q68z
pvalue,0.2859365
