analysis_id,98g5liun4u2uhds
parameter_name,PP3 + pulse startle magnitude
pvalue,0.9578737
mouse_strain,C57BL
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
gene_symbol,Kcng1
parameter_id,ESLIM_011_001_009
