parameter_name,Neural tube closure
analysis_id,3iy1r45v43u011j
pvalue,0.6666486
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
gene_accession_id,MGI:1916043
