parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
pvalue,0.5358604
analysis_id,d6y4623xg03lx8m
gene_accession_id,MGI:2444777
parameter_name,Heart weight
gene_symbol,Ncaph
mouse_strain,C57BL
