analysis_id,cgs0mn7j3bf3861
pvalue,0.2024796
mouse_life_stage,E18.5
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,MGP_PBI_011_001
