parameter_name,NK cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,51e3a7y64z341m7
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_id,MGP_PBI_027_001
pvalue,0.6290372
