parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:1913396
pvalue,0.06151613
mouse_strain,C57BL
analysis_id,316ovpsgx0na026
gene_symbol,Maco1
