analysis_id,y8tb42v8893ng5g
pvalue,0.8300391
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
mouse_strain,C57BL
gene_symbol,Zc2hc1a
