parameter_name,Periphery permanence time
pvalue,0.6627277
gene_symbol,Hpca
mouse_strain,C57BL
analysis_id,2udh65297g0cb7o
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
