gene_symbol,Exd1
pvalue,0.5768313
mouse_life_stage,Early adult
analysis_id,fxg62499rgxtf5d
parameter_name,Effector CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_014_001
mouse_strain,C57BL
gene_accession_id,MGI:3045306
