parameter_name,Cholesterol ratio
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
analysis_id,m7s9aix51z84f74
pvalue,0.9547735
gene_symbol,Nr0b2
parameter_id,IMPC_CBC_058_001
mouse_strain,B6J
