parameter_id,MGP_IMM_130_001
mouse_strain,C57BL
pvalue,0
gene_accession_id,MGI:894679
gene_symbol,Bach2
analysis_id,e0t69iv55g0488u
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
