gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
parameter_name,Lean mass
pvalue,0.6345188
analysis_id,h9365w49i1cm11b
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
