parameter_name,110dB startle magnitude
mouse_strain,C57BL
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
pvalue,0.4786993
analysis_id,639ek8670mft5z9
