parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
analysis_id,498c1mjyc771h41
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
pvalue,0.07650785
gene_symbol,Hspa5
