gene_symbol,Stk35
analysis_id,2644s5obpw872r6
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4950017
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:1914583
