analysis_id,6n8988117278o89
mouse_strain,C57BL
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
gene_symbol,KCNG1
pvalue,0.5274778
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
