gene_symbol,Zc2hc1a
analysis_id,at086zv15nq0n91
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
pvalue,0.9668267
gene_accession_id,MGI:1914556
mouse_strain,C57BL
parameter_name,Hindlimb nail - number
