Gene_symbol,Cpa3
Pvalue,0.2147672
Gene_accession_id,MGI:88479
Mouse_strain,C57BL
Parameter_name,Total ab T cells - % of CD45+
Mouse_life_stage,Early adult
Analysis_id,g03v588hdyf42k1
Parameter_id,MGP_IMM_070_001
