parameter_name,DN CD25- NKT cells
analysis_id,m33i5pqq5ep8f6o
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
mouse_strain,C57BL
parameter_id,IMPC_IMM_025_001
pvalue,0.5462805
gene_accession_id,MGI:1923029
