gene_symbol,Ints7
gene_accession_id,MGI:1924315
pvalue,0.4758067
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
analysis_id,29152r0s640ie67
parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
