gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5480843
analysis_id,yfd22ce8el39m70
parameter_name,Center average speed
gene_accession_id,MGI:1917810
parameter_id,JAXLA_OFD_017_001
