parameter_name,Limb morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
analysis_id,u7613855wuvi19a
gene_symbol,Cdin1
mouse_strain,C57BL
pvalue,0.6887031
parameter_id,IMPC_GEP_084_001
