analysis_id,j9tc784ns8mix07
pvalue,0.4928616
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
