analysis_id,bc5d4pxys1r62x1
pvalue,0.4634916
parameter_name,Time mobile light side
gene_accession_id,MGI:97838
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
gene_symbol,Eprs1
mouse_life_stage,E12.5
