parameter_id,CCP_XRY_001_001
gene_symbol,Eprs1
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
analysis_id,4pc75a0xal388pf
parameter_name,Skull shape
pvalue,0.7708431
mouse_strain,C57BL
