analysis_id,y8o0m1p6666pc02
gene_symbol,Kdm5b
parameter_id,ESLIM_011_001_704
mouse_strain,C57BL
pvalue,0.8562116
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
parameter_name,Prepulse inhibition - PP4
