analysis_id,7132stb1a6ldcn8
pvalue,0.5553922
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
parameter_name,Neutrophil differential count
