analysis_id,3111401snf59c31
parameter_id,MGP_IMM_017_001
gene_symbol,Bach2
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
pvalue,0
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
