gene_symbol,Zc2hc1a
analysis_id,7ygw74j4cpb016e
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
pvalue,0.8683006
parameter_id,M-G-P_016_001_005
mouse_strain,C57BL
gene_accession_id,MGI:1914556
