gene_symbol,Mgst2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2448481
parameter_id,IMPC_HEM_029_001
analysis_id,8f8r9a2mnllfa9v
parameter_name,Neutrophil differential count
pvalue,0.1501659
