analysis_id,c47sgatabfn827y
mouse_life_stage,Early adult
pvalue,0.2751896
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
gene_symbol,Pglyrp3
parameter_name,Total T cell percentage
gene_accession_id,MGI:2685266
