analysis_id,cq419g6tu5g0sl7
mouse_life_stage,Early adult
gene_symbol,Hrnr
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
gene_accession_id,MGI:3046938
pvalue,0.3839992
