analysis_id,9p3641ou81o5496
gene_accession_id,MGI:1924054
parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
pvalue,0.3355976
