parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
analysis_id,duqp694dvc5yo43
pvalue,0.1245672
gene_accession_id,MGI:88071
gene_symbol,Arnt
mouse_strain,C57BL
mouse_life_stage,Early adult
