analysis_id,44n88b5z5cz5r4c
pvalue,0.6920439
parameter_name,% Pre-pulse inhibition - PPI2
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
parameter_id,IMPC_ACS_034_001
mouse_strain,C57BL
