parameter_name,lens
parameter_id,M-G-P_014_001_009
mouse_life_stage,Early adult
analysis_id,a4408xt54eax088
pvalue,0.6043514
gene_symbol,Rab22a
mouse_strain,C53BL
gene_accession_id,MGI:105072
