analysis_id,nal4ent5ieow51a
mouse_strain,C57BL
Parameter_id,MGP_CSD_030_001
parameter_name,Limb coat/hair presence
Mouse_life_stage,Late adult
Pvalue,0.256746
Gene_accession_id,MGI:1345282
Gene_symbol,Slc30a4
