parameter_name,Lens Opacity
gene_symbol,Ahctf1
pvalue,0.9974134
gene_accession_id,MGI:1915033
analysis_id,4w734o2pe611p5a
mouse_life_stage,Early adult
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
