analysis_id,4062u586sc7b0fb
pvalue,0.2755663
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,E9.5
parameter_id,MGP_IMM_081_001
gene_accession_id,MGI:95835
gene_symbol,Hspa5
