gene_symbol,Zyg11b
pvalue,0.7349507
parameter_id,IMPC_CBC_014_001
mouse_life_stage,E18.5
analysis_id,8a64g672py315a0
gene_accession_id,MGI:2685277
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
