analysis_id,4u67m7fp27d6g30
gene_accession_id,MGI:1919935
parameter_id,M-G-P_005_001_004
gene_symbol,Dnajc6
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.328425
