analysis_id,vyem4o5djg1bma3
parameter_id,MGP_IMM_048_001
parameter_name,Follicular B cells - % of B2 cells
pvalue,0.839566
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_strain,C57BL
