analysis_id,0t05ehusg74y998
pvalue,0.2077603
gene_symbol,Lurap1
mouse_strain,C57BL
parameter_name,Contact righting
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
parameter_id,JAXLA_CSD_077_001
