analysis_id,5gp2o2g8i2bk441
parameter_name,Periphery distance travelled
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_006
gene_symbol,Snap23
pvalue,0.2528384
mouse_strain,C57BL
gene_accession_id,MGI:109356
