analysis_id,3xm4o2c61m1765y
mouse_strain,C57BL
gene_symbol,Car13
pvalue,1.295776
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
