parameter_id,MGP_MLN_006_001
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.2273402
mouse_life_stage,Early adult
analysis_id,7sy4t622mo9o302
