parameter_id,HRWLLA_CSD_008_001
gene_symbol,Eprs1
gene_accession_id,MGI:97838
analysis_id,v7palsrhm5z5bfx
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
mouse_life_stage,E9.5
pvalue,0.5776874
