analysis_id,t539h612091vt32
mouse_life_stage,Early adult
pvalue,0.9799235
mouse_strain,C57BL
gene_symbol,Cldn19
parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:3033992
