parameter_name,QT
pvalue,0.8730402
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
analysis_id,0l2v342hi07p7f7
gene_accession_id,MGI:109356
