parameter_id,UCD_OWT_003_001
analysis_id,4vry848p7q30034
parameter_name,Spleen weight
pvalue,0.563641
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
