parameter_id,JAX_TLS_001_001
gene_accession_id,MGI:1915087
analysis_id,p6kra80fm00s888
parameter_name,Time immobile
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Tiprl
pvalue,0.6025644
