analysis_id,kfc98054i647813
parameter_id,M-G-P_009_001_003
pvalue,0.06023494
gene_symbol,Zcchc2
mouse_strain,C57BL
parameter_name,Body weight
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
