analysis_id,0r104y239q82099
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Arpc2
pvalue,0.8311219
gene_accession_id,MGI:1923959
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
