parameter_id,IMPC_IMM_046_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
pvalue,0.5630619
mouse_strain,C57BL
analysis_id,04vtvj2oyqlyxt2
parameter_name,DN CD44+CD62L- NKT cells
gene_symbol,Lime1
