parameter_name,Delayed embryonic development
gene_symbol,Ints7
mouse_strain,C57BL
pvalue,0.4311611
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
parameter_id,IMPC_GEL_063_001
analysis_id,14376pt2807ipf9
