parameter_name,LDL-cholesterol
mouse_strain,C57BL
pvalue,0.6533045
mouse_life_stage,E18.5
parameter_id,IMPC_CBC_025_001
analysis_id,9nvdqns03m02wk4
gene_accession_id,MGI:1914561
gene_symbol,Nanp
