analysis_id,4a4d9x514h1nh81
gene_symbol,Dnajc6
mouse_strain,C57BL
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
pvalue,0.9147524
parameter_name,Plasmacytoid DC - % of DC
parameter_id,MGP_MLN_058_001
